rank,game_id,names,min_players,max_players,avg_time,min_time,max_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category
4188,1149,Dragon Strike,2,6,60,60,60,1993,6.16645,5.68718,588,10,"Dice Rolling, Role Playing, Time Track, Variable Player Powers",1498,"Adventure, Exploration, Fantasy, Fighting, Miniatures"
4189,65272,Cyrano,4,9,45,45,45,2010,6.75316,5.68703,190,8,"Simultaneous Action Selection, Storytelling, Voting",381,"Party Game, Word Game"
4190,10523,Victory & Honor,4,4,30,30,30,2004,6.45125,5.68698,266,12,"Hand Management, Trick-taking",462,"American Civil War, Card Game"
4191,62814,Tumblin-Dice Medium,2,6,15,15,15,2008,7.20135,5.68689,133,6,Dice Rolling,201,"Action / Dexterity, Dice"
4192,574,Formel Fun,3,6,30,30,30,1991,6.40329,5.68677,292,8,Hand Management,347,"Card Game, Racing"
4193,96,Broadsides and Boarding Parties,2,2,60,60,60,1982,6.16787,5.68676,521,10,"Action / Movement Programming, Dice Rolling, Hand Management, Point to Point Movement",901,"Nautical, Pirates, Wargame"
4194,24511,Simply Catan,2,4,30,30,30,2006,6.95379,5.68675,174,10,"Dice Rolling, Hand Management, Memory, Modular Board, Route/Network Building, Trading",308,"Civilization, Negotiation"
4195,160012,In a Bind,3,12,20,10,20,2015,7.18374,5.68674,163,13,"Co-operative Play, Partnerships, Player Elimination, Take That",247,"Action / Dexterity, Party Game"
4196,43249,The BoardGameGeek Game,3,6,60,60,60,2009,6.03794,5.68671,574,8,"Dice Rolling, Set Collection, Tile Placement",1069,"Bluffing, Deduction, Economic, Industry / Manufacturing"
4197,99078,Divided Republic,2,4,180,180,180,2012,6.71501,5.68668,210,16,"Area Control / Area Influence, Campaign / Battle Card Driven, Hand Management, Variable Player Powers",384,"American Civil War, Civil War, Political"
4198,212580,Mega Man Pixel Tactics: Mega Man Blue,2,2,45,20,45,2017,7.37523,5.68658,132,10,"Hand Management, Variable Player Powers",580,"Card Game, Video Game Theme"
4199,87200,Dragon Valley,2,4,120,120,120,2012,6.67445,5.68649,218,12,"Area Movement, Chit-Pull System, Tile Placement",375,"City Building, Exploration, Fantasy, Fighting"
4200,2072,Panzer Command,2,2,180,180,180,1984,7.1365,5.68647,163,12,"Chit-Pull System, Hex-and-Counter",546,"Wargame, World War II"
4201,237031,D100 Dungeon,1,1,90,5,90,2017,8.05188,5.68646,128,10,"Dice Rolling, Paper-and-Pencil, Role Playing",432,"Book, Dice, Fantasy, Math, Print & Play"
4202,89695,RoboDerby: Express,2,2,45,45,45,2011,7.13291,5.68635,148,10,"Action / Movement Programming, Dice Rolling, Modular Board, Simultaneous Action Selection",272,"Print & Play, Racing, Science Fiction"
4203,155495,KUNE v LAKIA: A Chronicle Of A Royal Lapine Divorce Foretold,2,2,30,15,30,2015,6.71254,5.68632,205,12,"Campaign / Battle Card Driven, Card Drafting, Deck / Pool Building, Hand Management",558,"Animals, Card Game, Fantasy, Medieval"
4204,133747,Bauhaus,2,4,30,30,30,2013,6.8337,5.68623,216,14,Area Enclosure,255,Abstract Strategy
4205,38471,Corps Command: Dawn's Early Light,2,2,240,120,240,2010,7.34511,5.68621,133,12,"Chit-Pull System, Dice Rolling, Hex-and-Counter",319,"Modern Warfare, Wargame"
4206,164159,BUS,2,3,20,20,20,2015,6.37324,5.68619,309,8,"Card Drafting, Modular Board, Pick-up and Deliver",1287,"Transportation, Travel"
4207,65990,Don Quixote,1,4,20,20,20,2010,6.06531,5.68619,591,8,"Hand Management, Tile Placement",737,"Medieval, Novel-based"
4208,171544,Think Str8!,2,4,60,60,60,2015,7.04431,5.68604,153,10,none,219,Deduction
4209,131332,Berserk: War of the Realms,2,4,60,40,60,2013,6.48187,5.68598,284,13,"Area Movement, Dice Rolling, Hand Management, Variable Player Powers",909,"Card Game, Fantasy, Fighting"
4210,142924,Mayday!Mayday!,5,8,25,25,25,2013,6.5198,5.68584,252,10,"Partnerships, Simultaneous Action Selection, Voting",428,"Aviation / Flight, Bluffing, Deduction"
4211,2536,Vabanque,3,6,30,30,30,2001,6.14743,5.68576,467,12,Betting/Wagering,545,Bluffing
4212,7453,Hube's Pocket,2,2,360,360,360,1995,7.59857,5.68565,125,12,"Dice Rolling, Hex-and-Counter, Simulation",385,"Wargame, World War II"
4213,174182,Force of Will,2,2,30,30,0,2014,7.18879,5.68564,174,13,"Deck / Pool Building, Hand Management",334,"Card Game, Collectible Components, Fantasy, Fighting"
4214,4643,Fire and Ice,1,2,30,30,30,2002,6.74358,5.68562,194,12,"Pattern Building, Point to Point Movement",335,Abstract Strategy
4215,352,Trumpet,2,6,45,45,45,1990,6.13335,5.68557,498,9,Trick-taking,907,Card Game
4216,8798,Winter War,2,2,90,90,90,1972,7.02665,5.68542,167,12,"Dice Rolling, Hex-and-Counter",407,"Wargame, World War II"
4217,46422,Nostra City,3,5,60,60,60,2009,6.32782,5.68528,362,12,"Auction/Bidding, Partnerships, Variable Player Powers",664,"Card Game, Mafia, Negotiation"
4218,66125,Le Donjon de Naheulbeuk,3,6,60,60,60,2010,6.74112,5.68527,214,10,"Co-operative Play, Variable Player Powers",393,"Action / Dexterity, Comic Book / Strip, Fantasy, Humor"
4219,158392,Stay Away!,4,12,60,15,60,2014,6.21165,5.68521,492,12,"Card Drafting, Co-operative Play, Partnerships, Player Elimination, Role Playing, Storytelling",898,"Bluffing, Card Game, Deduction, Horror, Party Game"
4220,33785,Panzer Grenadier: Elsenborn Ridge,2,2,60,60,60,2008,7.56767,5.68519,116,0,Hex-and-Counter,357,"Wargame, World War II"
4221,274,Guerilla,3,6,60,60,60,1994,6.2658,5.68517,364,10,Hand Management,778,"Card Game, Political, Wargame"
